Country,GDP per capita (USD),Life satisfaction
Afghanistan,19705.602,25.229
Albania,13191.952,51.174
Algeria,10735.383,48.871
Argentina,19690.662,59.293
Armenia,12619.893,52.826
Australia,48678.684,71.835
Bangladesh,48714.463,50.246
Belarus,19186.775,55.335
Belgium,48769.727,68.34
Benin,33231.445,50.452
Bolivia,78451.71,57.159
Botswana,14654.651,34.665
Brazil,14063.982,63.301
Bulgaria,22379.094,52.655
Burkina Faso,21557.693,48.338
Burundi,73106.323,37.753
Cambodia,41915.664,48.304
Cameroon,36664.106,51.418
Canada,46064.254,71.033
Chad,15190.367,43.554
Chile,23324.525,61.719
China,16315.815,53.391
Colombia,13448.933,60.124
Comoros,29891.704,42.886
Congo,34339.59,53.417
Ecuador,10329.199,57.64
Egypt,11951.447,42.827
El Salvador,79826.26,60.605
Eswatini,84047.28,43.081
Ethiopia,22968.274,42.747
Finland,47154.426,78.421
France,42320.523,66.899
Gabon,14320.845,48.518
Gambia,21567.546,50.51
Georgia,13966.326,48.914
Germany,51423.234,71.545
Honduras,51383.853,59.192
Hong Kong,56153.973,54.767
Hungary,31098.396,59.916
India,61657.466,38.189
